英文,和文
"Could you say that again, please?",もう一度言ってもらえませんか？
Do you take credit cards?,クレジットカードは使えますか？
"Could I have the check, please?",会計をお願いします。
Could I see a menu?,メニューを見せてください。
I would like to make a reservation for this evening.,（レストランの）今夜の予約をしたいのですが。
"Could I have an aisle seat, please?",通路側の席をお願いします。
Please turn right at the next intersection.,次の交差点を右に曲がってください。
I would like to exchange yen for dollars.,円からドルに両替をしてください。
I left my key in the room.,部屋に鍵を忘れました。
The air conditioner doesn't work.,エアコンがききません。
Where can I buy a ticket?,切符はどこで買うのですか？
Can I try this on?,試着できますか？
Do you have any rooms available for tonight?,今晩泊まれますか？
How much is it to stay for one night?,一泊いくらですか？
It’s a pleasure to meet you.,お会いできて光栄です。
How was your weekend?,週末は何をしていましたか？
How have you been?,最近どうしてましたか？
I like your shirt! Where did you get it?,素敵なシャツですね！どこで買ったの？
"I’m sorry, I couldn’t catch that.",すみません、聞き取れませんでした
Could you say that again for me?,もう一度言っていただけますか？
"Straight down this street, you will see the Tokyo Dome on your right.",この通りをまっすぐ進むと、右手に東京ドームが見えます。
I’m afraid I’m not sure where it is.,申し訳ありませんが、それがどこなのか分かりません
I’d like to make a reservation for tomorrow.,明日の予約を取りたいのですが。
My order hasn’t come yet.,注文したものがまだ来ないのですが。
Keep the change.,おつりは取っておいてください。（チップを渡すとき）
Do you accept credit cards?,クレジットカードは使えますか？
Would you like a smoking or non-smoking seat?,禁煙と喫煙どちらがご希望ですか？
How many in your party?,（お客様は）何名様ですか？
Thank you for waiting. Here are your appetizers salad.,お待たせしました。こちら前菜のサラダになります。
Have you received all your meals?,メニューは以上でお揃いですか？
We don’t have a reservation. Do you still have a table?,予約していないですが入れますか？
What would you recommend?,オススメの料理はありますか？
What wine goes well with this?,この料理に合うワインを教えてください。
"Could you fill out this form with your name, address, and phone number.",こちらの用紙に、お名前、ご住所、お電話番号の記入をお願いします。
"Excuse me, I would like to go to Kinkakuji Temple.",すいません、金閣寺へ行きたいのですがどうやっていけばよろしいですか？
Do you have a carry-on?,機内持ち込みの荷物はありますか？
Boarding will begin at 10:00 a.m. from Gate 5.,5番ゲートから10:00に搭乗を開始します。
How many days are you going to stay?,何日間滞在する予定ですか？
What is the purpose of your visit?,滞在の目的はなんですか？
What do you do for your living?,仕事は何をしていますか？
Do you have a return ticket?,帰りのチケットは持っていますか？
When will you return to Japan?,いつ日本に帰国しますか？
Could you tell me how to get to the city center?,どうやって市内中心地に行くのか教えてください。
